asset_id,rank,driver,driver_points
AST-00666,1,Asset criticality,6.0
AST-00666,2,Maintenance interval,5.29
AST-00666,3,Inspection decline,3.27
AST-00666,4,Condition deterioration,0.0
AST-00666,5,Recent incidents,0.0
AST-00669,1,Asset criticality,8.0
AST-00669,2,Recent incidents,5.0
AST-00669,3,Maintenance interval,4.8
AST-00669,4,Inspection decline,1.82
AST-00669,5,Condition deterioration,0.0
AST-00668,1,Condition deterioration,7.92
AST-00668,2,Maintenance interval,6.97
AST-00668,3,Asset criticality,6.0
AST-00668,4,Inspection decline,0.28
AST-00668,5,Recent incidents,0.0
AST-00667,1,Asset criticality,10.0
AST-00667,2,Maintenance interval,3.75
AST-00667,3,Condition deterioration,0.0
AST-00667,4,Inspection decline,0.0
AST-00667,5,Recent incidents,0.0
AST-00665,1,Asset criticality,6.0
AST-00665,2,Maintenance interval,3.58
AST-00665,3,Condition deterioration,0.0
AST-00665,4,Inspection decline,0.0
AST-00665,5,Recent incidents,0.0
AST-00659,1,Asset criticality,6.0
AST-00659,2,Condition deterioration,5.34
AST-00659,3,Maintenance interval,4.18
AST-00659,4,Inspection decline,3.64
AST-00659,5,Recent incidents,0.0
AST-00663,1,Asset criticality,4.0
AST-00663,2,Maintenance interval,2.89
AST-00663,3,Inspection decline,1.26
AST-00663,4,Condition deterioration,0.0
AST-00663,5,Recent incidents,0.0
AST-00662,1,Condition deterioration,11.0
AST-00662,2,Maintenance interval,6.97
AST-00662,3,Asset criticality,6.0
AST-00662,4,Inspection decline,3.92
AST-00662,5,Recent incidents,0.0
AST-00661,1,Asset criticality,8.0
AST-00661,2,Inspection decline,1.38
AST-00661,3,Maintenance interval,0.66
AST-00661,4,Condition deterioration,0.0
AST-00661,5,Recent incidents,0.0
AST-00660,1,Asset criticality,8.0
AST-00660,2,Maintenance interval,7.69
AST-00660,3,Inspection decline,6.54
AST-00660,4,Recent incidents,5.0
AST-00660,5,Condition deterioration,0.0
AST-00670,1,Condition deterioration,9.05
AST-00670,2,Asset criticality,8.0
AST-00670,3,Maintenance interval,3.19
AST-00670,4,Inspection decline,2.75
AST-00670,5,Recent incidents,0.0
AST-00664,1,Maintenance interval,7.76
AST-00664,2,Asset criticality,6.0
AST-00664,3,Inspection decline,4.81
AST-00664,4,Condition deterioration,0.0
AST-00664,5,Recent incidents,0.0
AST-00671,1,Asset criticality,6.0
AST-00671,2,Condition deterioration,5.91
AST-00671,3,Inspection decline,3.34
AST-00671,4,Maintenance interval,3.29
AST-00671,5,Recent incidents,0.0
AST-00685,1,Maintenance interval,8.55
AST-00685,2,Asset criticality,4.0
AST-00685,3,Inspection decline,2.12
AST-00685,4,Condition deterioration,0.0
AST-00685,5,Recent incidents,0.0
AST-00673,1,Maintenance interval,7.07
AST-00673,2,Asset criticality,6.0
AST-00673,3,Condition deterioration,4.46
AST-00673,4,Inspection decline,2.64
AST-00673,5,Recent incidents,0.0
AST-00674,1,Asset criticality,8.0
AST-00674,2,Maintenance interval,0.79
AST-00674,3,Inspection decline,0.7
AST-00674,4,Condition deterioration,0.0
AST-00674,5,Recent incidents,0.0
AST-00675,1,Condition deterioration,13.58
AST-00675,2,Asset criticality,4.0
AST-00675,3,Inspection decline,2.73
AST-00675,4,Maintenance interval,1.22
AST-00675,5,Recent incidents,0.0
AST-00676,1,Condition deterioration,9.68
AST-00676,2,Asset criticality,6.0
AST-00676,3,Recent incidents,5.0
AST-00676,4,Maintenance interval,1.05
AST-00676,5,Inspection decline,0.66
AST-00677,1,Asset criticality,6.0
AST-00677,2,Maintenance interval,5.75
AST-00677,3,Condition deterioration,4.71
AST-00677,4,Inspection decline,0.0
AST-00677,5,Recent incidents,0.0
AST-00678,1,Asset criticality,8.0
AST-00678,2,Condition deterioration,5.15
AST-00678,3,Maintenance interval,3.65
AST-00678,4,Inspection decline,2.68
AST-00678,5,Recent incidents,0.0
AST-00679,1,Asset criticality,8.0
AST-00679,2,Maintenance interval,4.31
AST-00679,3,Condition deterioration,0.0
AST-00679,4,Inspection decline,0.0
AST-00679,5,Recent incidents,0.0
AST-00680,1,Asset criticality,8.0
AST-00680,2,Recent incidents,5.0
AST-00680,3,Inspection decline,1.08
AST-00680,4,Maintenance interval,0.89
AST-00680,5,Condition deterioration,0.0
AST-00681,1,Asset criticality,6.0
AST-00681,2,Maintenance interval,4.8
AST-00681,3,Inspection decline,2.54
AST-00681,4,Condition deterioration,0.0
AST-00681,5,Recent incidents,0.0
AST-00682,1,Asset criticality,6.0
AST-00682,2,Maintenance interval,4.08
AST-00682,3,Condition deterioration,0.0
AST-00682,4,Inspection decline,0.0
AST-00682,5,Recent incidents,0.0
AST-00683,1,Asset criticality,10.0
AST-00683,2,Inspection decline,3.74
AST-00683,3,Maintenance interval,2.5
AST-00683,4,Condition deterioration,0.0
AST-00683,5,Recent incidents,0.0
AST-00684,1,Asset criticality,8.0
AST-00684,2,Maintenance interval,7.27
AST-00684,3,Condition deterioration,6.73
AST-00684,4,Inspection decline,2.92
AST-00684,5,Recent incidents,0.0
AST-00628,1,Asset criticality,6.0
AST-00628,2,Recent incidents,5.0
AST-00628,3,Inspection decline,4.43
AST-00628,4,Maintenance interval,1.15
AST-00628,5,Condition deterioration,0.0
AST-00672,1,Repeat-failure signal,12.0
AST-00672,2,Recent incidents,10.0
AST-00672,3,Asset criticality,10.0
AST-00672,4,Condition deterioration,6.91
AST-00672,5,Open critical work,5.0
AST-00658,1,Asset criticality,6.0
AST-00658,2,Maintenance interval,5.46
AST-00658,3,Condition deterioration,0.0
AST-00658,4,Inspection decline,0.0
AST-00658,5,Recent incidents,0.0
AST-00644,1,Asset criticality,8.0
AST-00644,2,Inspection decline,4.37
AST-00644,3,Maintenance interval,1.91
AST-00644,4,Condition deterioration,0.0
AST-00644,5,Recent incidents,0.0
AST-00656,1,Asset criticality,6.0
AST-00656,2,Inspection decline,2.71
AST-00656,3,Maintenance interval,2.63
AST-00656,4,Condition deterioration,0.0
AST-00656,5,Recent incidents,0.0
AST-00686,1,Inspection decline,6.04
AST-00686,2,Asset criticality,6.0
AST-00686,3,Recent incidents,5.0
AST-00686,4,Condition deterioration,0.94
AST-00686,5,Maintenance interval,0.39
AST-00629,1,Maintenance interval,6.9
AST-00629,2,Asset criticality,6.0
AST-00629,3,Inspection decline,3.94
AST-00629,4,Condition deterioration,3.02
AST-00629,5,Recent incidents,0.0
AST-00630,1,Asset criticality,8.0
AST-00630,2,Recent incidents,5.0
AST-00630,3,Inspection decline,0.61
AST-00630,4,Maintenance interval,0.13
AST-00630,5,Condition deterioration,0.0
AST-00631,1,Asset criticality,6.0
AST-00631,2,Maintenance interval,5.82
AST-00631,3,Condition deterioration,4.53
AST-00631,4,Inspection decline,0.0
AST-00631,5,Recent incidents,0.0
AST-00632,1,Asset criticality,8.0
AST-00632,2,Condition deterioration,7.1
AST-00632,3,Maintenance interval,1.35
AST-00632,4,Inspection decline,0.0
AST-00632,5,Recent incidents,0.0
AST-00633,1,Condition deterioration,6.22
AST-00633,2,Asset criticality,6.0
AST-00633,3,Maintenance interval,5.29
AST-00633,4,Inspection decline,1.96
AST-00633,5,Recent incidents,0.0
AST-00634,1,Asset criticality,8.0
AST-00634,2,Condition deterioration,6.35
AST-00634,3,Maintenance interval,2.79
AST-00634,4,Inspection decline,2.59
AST-00634,5,Recent incidents,0.0
AST-00635,1,Maintenance interval,7.86
AST-00635,2,Inspection decline,7.47
AST-00635,3,Asset criticality,6.0
AST-00635,4,Condition deterioration,0.0
AST-00635,5,Recent incidents,0.0
AST-00636,1,Asset criticality,8.0
AST-00636,2,Maintenance interval,6.15
