snapshot_date,asset_id,asset_type,borough,required_skill,age_years,criticality,condition_score,inspection_trend,incidents_30d,incidents_90d,incidents_365d,downtime_90d,open_work_orders,open_critical_work_orders,overdue_work_orders,days_since_maintenance,repeat_failure_flag,target_corrective_30d,predicted_30d_risk,risk_flag
2026-07-31,AST-00666,Feeder Cable,Manhattan,cable,22.0,3,68.2,-1.8700000000000028,0,0,0,0.0,0,0,0,161,0,0,0.06010790785332397,0
2026-07-31,AST-00669,Circuit Breaker House,Queens,breaker,4.0,4,79.1,-1.0400000000000045,1,1,2,2.3,0,0,0,146,0,0,0.06304763485553726,0
2026-07-31,AST-00668,Third Rail Segment,Manhattan,third_rail,39.0,3,52.4,-0.1599999999999973,0,0,0,0.0,0,0,0,212,0,0,0.07488464302534346,1
2026-07-31,AST-00667,Third Rail Segment,Brooklyn,third_rail,10.0,5,80.3,0.5499999999999985,0,0,0,0.0,0,0,0,114,0,0,0.053017906178607896,0
2026-07-31,AST-00665,Circuit Breaker House,Manhattan,breaker,9.0,3,87.4,0.5000000000000075,0,0,0,0.0,0,0,0,109,0,0,0.04990510141848936,0
2026-07-31,AST-00659,Feeder Cable,Manhattan,cable,27.0,3,56.5,-2.0799999999999943,0,0,1,0.0,0,0,0,127,0,0,0.0739316380997088,1
2026-07-31,AST-00663,Circuit Breaker House,Queens,breaker,6.0,2,94.3,-0.7200000000000049,0,0,0,0.0,0,0,0,88,0,0,0.048264282974010725,0
2026-07-31,AST-00662,Third Rail Segment,Queens,third_rail,31.0,3,47.5,-2.239999999999997,0,0,0,0.0,1,0,1,212,0,0,0.08514525851928514,1
2026-07-31,AST-00661,Circuit Breaker House,Manhattan,breaker,18.0,4,69.8,-0.7899999999999926,0,0,2,0.0,0,0,0,20,0,0,0.055916124176529976,0
2026-07-31,AST-00660,Circuit Breaker House,Queens,breaker,7.0,4,71.5,-3.7399999999999936,1,1,1,1.9,1,0,1,234,0,0,0.06394949119453115,0
2026-07-31,AST-00670,Feeder Cable,Brooklyn,cable,39.0,4,50.6,-1.5699999999999985,0,0,1,0.0,0,0,0,97,0,1,0.0945522878779942,1
2026-07-31,AST-00664,Substation,Queens,power,20.0,3,69.3,-2.7499999999999973,0,0,0,0.0,0,0,0,236,0,0,0.05332568855908344,0
2026-07-31,AST-00671,Substation,Brooklyn,power,32.0,3,55.6,-1.9099999999999933,0,0,1,0.0,0,0,0,100,0,0,0.07559892058616015,1
2026-07-31,AST-00685,Feeder Cable,Queens,cable,21.0,2,65.6,-1.2100000000000026,0,0,2,0.0,0,0,0,260,0,0,0.05177506447290719,0
2026-07-31,AST-00673,Third Rail Segment,Queens,third_rail,35.0,3,57.9,-1.5100000000000016,0,0,1,0.0,0,0,0,215,0,0,0.06846441092601552,0
2026-07-31,AST-00674,Feeder Cable,Manhattan,cable,8.0,4,82.5,-0.3999999999999986,0,0,0,0.0,0,0,0,24,0,0,0.049842414783485715,0
2026-07-31,AST-00675,Feeder Cable,Queens,cable,38.0,2,43.4,-1.5599999999999978,0,0,0,0.0,0,0,0,37,0,0,0.09371010580640478,1
2026-07-31,AST-00676,Circuit Breaker House,Manhattan,breaker,24.0,3,49.6,-0.379999999999998,0,1,1,2.1,0,0,0,32,0,0,0.0773198704623323,1
2026-07-31,AST-00677,Third Rail Segment,Bronx,third_rail,39.0,3,57.5,0.1300000000000051,0,0,0,0.0,0,0,0,175,0,0,0.0666633437947632,0
2026-07-31,AST-00678,Feeder Cable,Queens,cable,36.0,4,56.8,-1.5299999999999916,0,0,1,0.0,0,0,0,111,0,0,0.07937504607048597,1
2026-07-31,AST-00679,Substation,Manhattan,power,24.0,4,69.2,1.4299999999999986,0,0,2,0.0,0,0,0,131,0,0,0.05708664310282411,0
2026-07-31,AST-00680,Circuit Breaker House,Manhattan,breaker,15.0,4,88.6,-0.6199999999999956,0,1,1,0.8,1,0,0,27,0,0,0.050136800218268336,0
2026-07-31,AST-00681,Substation,Brooklyn,power,5.0,3,78.9,-1.4500000000000048,0,0,0,0.0,0,0,0,146,0,0,0.05080036546760495,0
2026-07-31,AST-00682,Circuit Breaker House,Manhattan,breaker,5.0,3,95.0,1.2800000000000058,0,0,1,0.0,0,0,0,124,0,0,0.04975083538534656,0
2026-07-31,AST-00683,Substation,Manhattan,power,16.0,5,66.8,-2.139999999999999,0,0,0,0.0,0,0,0,76,0,0,0.05587381705677147,0
2026-07-31,AST-00684,Feeder Cable,Bronx,cable,33.0,4,54.3,-1.669999999999997,0,0,1,0.0,1,0,1,221,0,0,0.07150180105521338,0
2026-07-31,AST-00628,Substation,Brooklyn,power,1.0,3,79.7,-2.529999999999992,0,1,1,2.9,0,0,0,35,0,0,0.04905564105527131,0
2026-07-31,AST-00672,Feeder Cable,Manhattan,cable,35.0,5,54.0,-0.8700000000000068,0,2,4,4.800000000000001,1,1,1,59,1,0,0.09937456378733925,1
2026-07-31,AST-00658,Circuit Breaker House,Manhattan,breaker,11.0,3,78.5,0.2900000000000048,0,0,1,0.0,0,0,0,166,0,0,0.050477700153049615,0
2026-07-31,AST-00644,Circuit Breaker House,Queens,breaker,19.0,4,67.4,-2.499999999999998,0,0,1,0.0,0,0,0,58,0,0,0.055119942285379496,0
