technician_id,work_order_id,asset_id,required_skill,estimated_hours,priority_score,predicted_30d_risk,sla_due_date,priority,days_to_sla
TECH-001,WO-0004105,AST-00093,cable,6.2,35.3053451589863,0.077711505299543,2026-05-04,Critical,-88
TECH-008,WO-0005148,AST-00832,cable,5.9,40.721170987284495,0.0918390329094832,2026-06-24,Critical,-37
TECH-010,WO-0004484,AST-00355,cable,9.9,43.7711080672984,0.0771036022432799,2026-07-08,Critical,-23
TECH-011,WO-0004293,AST-00214,third_rail,6.1,46.4847301337227,0.0493576711240901,2026-07-12,Critical,-19
TECH-005,WO-0005745,AST-00547,breaker,5.5,39.292958330900035,0.083298611030001,2026-03-29,High,-124
TECH-015,WO-0004726,AST-00533,breaker,6.4,36.041368935067226,0.0688456311689075,2026-05-25,High,-67
TECH-016,WO-0004418,AST-00305,third_rail,4.3,43.2706877554836,0.0846229251827864,2026-05-27,High,-65
TECH-004,WO-0005616,AST-00296,third_rail,5.5,53.174633195145674,0.0837544398381891,2026-06-25,High,-36
TECH-022,WO-0005449,AST-00097,breaker,9.2,44.401779575778534,0.0745926525259511,2026-06-25,High,-36
TECH-009,WO-0006027,AST-00899,breaker,2.7,42.960398765374734,0.0943466255124913,2026-06-25,High,-36
TECH-013,WO-0004325,AST-00230,power,2.0,40.403668650144326,0.072188955004811,2026-06-25,High,-36
TECH-013,WO-0005498,AST-00150,power,5.1,40.25518098685846,0.0997060328952818,2026-06-25,High,-36
TECH-007,WO-0005490,AST-00148,cable,5.6,37.121821495266985,0.0685940498422329,2026-06-25,High,-36
TECH-012,WO-0005393,AST-00001,third_rail,4.9,41.96933451223555,0.1263778170745183,2026-06-26,High,-35
TECH-019,WO-0005567,AST-00230,power,7.7,40.403668650144326,0.072188955004811,2026-06-26,High,-35
TECH-002,WO-0005427,AST-00068,breaker,5.9,36.675140956107434,0.0839046985369146,2026-06-28,High,-33
TECH-003,WO-0006033,AST-00902,breaker,5.2,36.45154181100203,0.0843180603667346,2026-06-28,High,-33
TECH-017,WO-0005684,AST-00413,power,6.5,39.19976876562096,0.076658958854032,2026-06-29,High,-32
TECH-006,WO-0006051,AST-00919,breaker,7.3,37.731198161977616,0.1079066053992537,2026-06-29,High,-32
TECH-014,WO-0004362,AST-00262,third_rail,2.5,40.70236832137652,0.1289456107125507,2026-08-05,High,5
TECH-018,WO-0005937,AST-00793,breaker,5.2,37.034014784063004,0.0756004928021,2026-04-03,Medium,-119
TECH-023,WO-0000444,AST-00114,cable,5.6,37.99554341525284,0.0803181138417614,2026-04-18,Medium,-104
TECH-009,WO-0002003,AST-00514,breaker,4.4,43.22068780804538,0.0842229269348464,2026-05-19,Medium,-73
TECH-020,WO-0004409,AST-00296,third_rail,7.3,53.174633195145674,0.0837544398381891,2026-05-20,Medium,-72
TECH-021,WO-0002429,AST-00621,third_rail,6.7,41.06306457017428,0.1012354856724763,2026-05-21,Medium,-71
TECH-014,WO-0000378,AST-00097,breaker,2.5,44.401779575778534,0.0745926525259511,2026-05-23,Medium,-69
TECH-008,WO-0002690,AST-00684,cable,3.4,36.94705403165639,0.0715018010552133,2026-06-25,Medium,-36
TECH-024,WO-0001168,AST-00298,third_rail,3.4,38.17553521446139,0.0572511738153794,2026-06-26,Medium,-35
TECH-005,WO-0001646,AST-00419,breaker,4.1,37.62093224236542,0.0553644080788469,2026-06-27,Medium,-34
TECH-016,WO-0003307,AST-00837,third_rail,5.3,41.022100404071466,0.071270013469049,2026-06-30,Medium,-31
TECH-024,WO-0006094,AST-00986,third_rail,3.8,41.409663593920826,0.0750554531306944,2026-07-01,Medium,-30
TECH-015,WO-0002878,AST-00731,breaker,3.2,37.884314239338835,0.0664104746446278,2026-07-01,Medium,-30
TECH-011,WO-0001719,AST-00438,cable,3.6,35.49600197944503,0.082800065981501,2026-07-10,Medium,-21
TECH-001,WO-0000647,AST-00165,cable,1.9,46.99402974239011,0.1018009914130035,2026-07-29,Medium,-2
