asset_id,asset_type,borough,install_year,age_years,criticality,base_condition,required_skill
AST-00001,Third Rail Segment,Bronx,1990,36,4,49.8,third_rail
AST-00002,Feeder Cable,Manhattan,2023,3,2,87.4,cable
AST-00003,Third Rail Segment,Brooklyn,2010,16,2,80.5,third_rail
AST-00004,Feeder Cable,Brooklyn,2007,19,4,69.8,cable
AST-00005,Substation,Brooklyn,1994,32,4,58.3,power
AST-00006,Third Rail Segment,Bronx,2020,6,3,87.7,third_rail
AST-00007,Third Rail Segment,Manhattan,2008,18,2,76.2,third_rail
AST-00008,Third Rail Segment,Bronx,2019,7,2,100.0,third_rail
AST-00009,Substation,Bronx,1994,32,2,67.8,power
AST-00010,Feeder Cable,Queens,2000,26,1,70.2,cable
AST-00011,Circuit Breaker House,Brooklyn,2006,20,3,73.8,breaker
AST-00012,Third Rail Segment,Brooklyn,2010,16,4,78.6,third_rail
AST-00013,Feeder Cable,Brooklyn,2019,7,3,94.2,cable
AST-00014,Third Rail Segment,Queens,1989,37,1,61.5,third_rail
AST-00015,Feeder Cable,Brooklyn,2000,26,3,63.7,cable
AST-00016,Circuit Breaker House,Bronx,2013,13,3,85.3,breaker
AST-00017,Feeder Cable,Queens,2009,17,5,66.2,cable
AST-00018,Substation,Brooklyn,1996,30,2,67.0,power
AST-00019,Third Rail Segment,Queens,1997,29,3,72.0,third_rail
AST-00020,Feeder Cable,Brooklyn,2007,19,5,76.2,cable
AST-00021,Third Rail Segment,Bronx,2013,13,4,97.8,third_rail
AST-00022,Circuit Breaker House,Manhattan,1999,27,4,62.8,breaker
AST-00023,Third Rail Segment,Bronx,1999,27,3,70.5,third_rail
AST-00024,Third Rail Segment,Queens,2002,24,4,72.1,third_rail
AST-00025,Third Rail Segment,Bronx,2023,3,4,95.8,third_rail
AST-00026,Circuit Breaker House,Brooklyn,2007,19,2,77.3,breaker
AST-00027,Feeder Cable,Bronx,2001,25,4,72.0,cable
AST-00028,Substation,Brooklyn,1987,39,2,61.1,power
AST-00029,Substation,Queens,2004,22,4,84.3,power
AST-00030,Feeder Cable,Manhattan,2012,14,3,83.9,cable
AST-00031,Feeder Cable,Brooklyn,2003,23,3,79.3,cable
AST-00032,Third Rail Segment,Brooklyn,2018,8,3,85.9,third_rail
AST-00033,Circuit Breaker House,Brooklyn,2022,4,3,100.0,breaker
AST-00034,Circuit Breaker House,Brooklyn,1998,28,2,62.5,breaker
AST-00035,Feeder Cable,Queens,1986,40,3,61.6,cable
AST-00036,Circuit Breaker House,Brooklyn,1992,34,2,76.4,breaker
AST-00037,Substation,Queens,2002,24,4,71.5,power
