incident_id,asset_id,incident_date,severity,downtime_hours,incident_type
INC-000001,AST-00001,2026-08-26,Low,0.5,Physical damage
INC-000002,AST-00001,2025-12-15,Critical,7.9,Inspection finding
INC-000003,AST-00001,2026-08-19,High,4.6,Physical damage
INC-000004,AST-00001,2024-04-15,Medium,4.0,Physical damage
INC-000005,AST-00002,2025-11-05,Low,2.3,Protection trip
INC-000006,AST-00003,2024-11-04,Low,1.7,Inspection finding
INC-000007,AST-00004,2025-03-02,Medium,2.7,Physical damage
INC-000008,AST-00004,2024-10-13,Low,2.0,Physical damage
INC-000009,AST-00005,2024-12-20,Low,0.6,Protection trip
INC-000010,AST-00005,2026-04-24,High,5.0,Inspection finding
INC-000011,AST-00005,2024-11-30,Medium,7.9,Overheating
INC-000012,AST-00005,2025-09-19,Critical,20.7,Inspection finding
INC-000013,AST-00005,2024-06-01,Medium,5.4,Protection trip
INC-000014,AST-00005,2025-01-20,Low,0.9,Overheating
INC-000015,AST-00008,2024-04-07,High,6.4,Electrical fault
INC-000016,AST-00008,2026-04-15,Low,0.7,Overheating
INC-000017,AST-00008,2024-12-03,High,6.0,Protection trip
INC-000018,AST-00009,2024-04-29,Low,1.5,Inspection finding
INC-000019,AST-00009,2025-11-19,Low,0.4,Physical damage
INC-000020,AST-00009,2026-06-05,Low,0.4,Electrical fault
INC-000021,AST-00009,2026-02-20,Medium,1.2,Electrical fault
INC-000022,AST-00009,2026-05-12,High,3.0,Inspection finding
INC-000023,AST-00010,2025-09-23,Low,0.6,Electrical fault
INC-000024,AST-00010,2024-02-10,High,9.8,Physical damage
INC-000025,AST-00011,2024-11-06,Low,1.2,Electrical fault
INC-000026,AST-00011,2026-01-13,Medium,5.4,Physical damage
INC-000027,AST-00012,2025-11-26,Medium,1.3,Inspection finding
INC-000028,AST-00012,2025-04-02,Medium,0.6,Physical damage
INC-000029,AST-00014,2026-02-21,Medium,1.8,Physical damage
INC-000030,AST-00014,2025-08-05,Medium,1.2,Electrical fault
INC-000031,AST-00015,2026-08-27,Low,1.8,Protection trip
INC-000032,AST-00016,2025-07-11,Medium,1.8,Inspection finding
INC-000033,AST-00016,2026-02-27,Medium,2.8,Overheating
INC-000034,AST-00016,2025-10-09,Medium,0.5,Protection trip
INC-000035,AST-00016,2026-03-05,Low,3.3,Protection trip
INC-000036,AST-00017,2024-02-04,Medium,4.5,Physical damage
INC-000037,AST-00017,2024-08-31,High,1.3,Electrical fault
INC-000038,AST-00017,2025-07-15,Low,1.4,Overheating
INC-000039,AST-00019,2024-10-31,Medium,5.2,Inspection finding
INC-000040,AST-00019,2024-09-19,Medium,1.9,Overheating
INC-000041,AST-00020,2026-06-17,Medium,2.6,Overheating
INC-000042,AST-00020,2025-11-26,Low,0.4,Physical damage
INC-000043,AST-00020,2024-06-21,Low,2.7,Overheating
INC-000044,AST-00020,2025-02-17,Medium,2.5,Physical damage
INC-000045,AST-00020,2024-10-01,Medium,6.1,Physical damage
INC-000046,AST-00021,2025-03-25,Medium,1.3,Electrical fault
INC-000047,AST-00021,2025-04-11,Low,1.8,Inspection finding
INC-000048,AST-00021,2024-08-20,High,1.4,Protection trip
INC-000049,AST-00022,2025-04-09,Low,0.9,Physical damage
INC-000050,AST-00022,2024-10-01,Low,0.6,Electrical fault
INC-000051,AST-00023,2025-11-06,Low,2.2,Inspection finding
INC-000052,AST-00023,2024-10-25,High,1.0,Inspection finding
INC-000053,AST-00024,2026-08-18,Medium,0.8,Electrical fault
INC-000054,AST-00024,2025-07-15,High,1.4,Protection trip
INC-000055,AST-00025,2024-04-11,Low,1.9,Electrical fault
INC-000056,AST-00025,2024-12-07,Medium,0.6,Electrical fault
INC-000057,AST-00026,2026-05-22,Medium,2.6,Physical damage
INC-000058,AST-00026,2024-02-23,Medium,0.4,Inspection finding
INC-000059,AST-00027,2026-08-25,Low,0.6,Electrical fault
INC-000060,AST-00027,2024-09-11,Medium,4.8,Overheating
INC-000061,AST-00027,2024-08-07,High,6.7,Electrical fault
INC-000062,AST-00028,2024-09-03,Low,3.7,Protection trip
INC-000063,AST-00028,2024-09-01,Medium,3.2,Electrical fault
INC-000064,AST-00028,2025-11-03,Critical,0.5,Physical damage
INC-000065,AST-00028,2024-03-25,Medium,3.0,Physical damage
INC-000066,AST-00028,2025-09-09,Medium,0.5,Protection trip
INC-000067,AST-00029,2026-06-04,Low,0.9,Protection trip
INC-000068,AST-00029,2025-07-12,High,10.8,Protection trip
INC-000069,AST-00029,2025-01-24,High,4.3,Physical damage
INC-000070,AST-00031,2026-08-30,Critical,8.3,Protection trip
INC-000071,AST-00031,2025-07-07,Low,2.0,Physical damage
INC-000072,AST-00032,2024-05-30,High,3.0,Overheating
INC-000073,AST-00033,2025-11-16,Medium,2.4,Physical damage
INC-000074,AST-00035,2025-07-26,Low,1.8,Physical damage
INC-000075,AST-00035,2024-09-11,High,3.6,Physical damage
INC-000076,AST-00036,2025-03-05,Low,1.7,Protection trip
INC-000077,AST-00036,2024-12-16,Low,0.8,Electrical fault
INC-000078,AST-00037,2026-05-30,Medium,2.0,Inspection finding
INC-000079,AST-00037,2024-10-30,High,4.6,Protection trip
INC-000080,AST-00037,2026-06-13,Medium,2.3,Electrical fault
INC-000081,AST-00037,2025-10-19,Low,2.3,Protection trip
INC-000082,AST-00037,2026-03-16,Low,3.3,Inspection finding
INC-000083,AST-00038,2024-03-10,Critical,1.9,Inspection finding
INC-000084,AST-00039,2025-04-30,Low,0.9,Electrical fault
INC-000085,AST-00039,2026-04-07,Low,3.8,Protection trip
INC-000086,AST-00039,2024-03-20,High,8.1,Overheating
INC-000087,AST-00039,2026-06-25,Low,0.9,Inspection finding
INC-000088,AST-00039,2024-12-04,Low,0.8,Protection trip
INC-000089,AST-00039,2026-08-03,High,3.4,Electrical fault
INC-000090,AST-00039,2025-09-18,Critical,1.8,Overheating
INC-000091,AST-00041,2024-10-31,High,4.2,Physical damage
INC-000092,AST-00042,2026-07-05,Low,0.5,Overheating
INC-000093,AST-00043,2025-09-03,High,4.2,Electrical fault
INC-000094,AST-00043,2025-10-26,Medium,4.3,Physical damage
INC-000095,AST-00045,2024-06-28,Low,1.3,Protection trip
INC-000096,AST-00045,2026-03-26,Low,0.8,Electrical fault
INC-000097,AST-00045,2024-03-10,Medium,2.7,Overheating
INC-000098,AST-00046,2026-01-27,High,10.4,Physical damage
INC-000099,AST-00047,2024-06-23,Low,0.4,Overheating
INC-000100,AST-00048,2026-04-10,Medium,2.4,Overheating
