asset_id,inspection_date,condition_score,condition_band
AST-00001,2024-01-01,47.4,Poor
AST-00001,2024-03-31,54.3,Poor
AST-00001,2024-06-29,48.9,Poor
AST-00001,2024-09-27,39.9,Critical
AST-00001,2024-12-26,43.4,Critical
AST-00001,2025-03-26,46.2,Poor
AST-00001,2025-06-24,44.8,Critical
AST-00001,2025-09-22,46.4,Poor
AST-00001,2025-12-21,42.1,Critical
AST-00001,2026-03-21,39.4,Critical
AST-00001,2026-06-19,38.5,Critical
AST-00002,2024-01-01,88.4,Good
AST-00002,2024-03-31,88.8,Good
AST-00002,2024-06-29,84.5,Good
AST-00002,2024-09-27,85.1,Good
AST-00002,2024-12-26,87.7,Good
AST-00002,2025-03-26,85.9,Good
AST-00002,2025-06-24,84.7,Good
AST-00002,2025-09-22,87.4,Good
AST-00002,2025-12-21,81.8,Good
AST-00002,2026-03-21,85.8,Good
AST-00002,2026-06-19,87.5,Good
AST-00003,2024-01-01,80.5,Good
AST-00003,2024-03-31,79.8,Good
AST-00003,2024-06-29,76.3,Good
AST-00003,2024-09-27,78.2,Good
AST-00003,2024-12-26,76.8,Good
AST-00003,2025-03-26,81.9,Good
AST-00003,2025-06-24,77.4,Good
AST-00003,2025-09-22,77.0,Good
AST-00003,2025-12-21,81.1,Good
AST-00003,2026-03-21,76.9,Good
AST-00003,2026-06-19,78.6,Good
AST-00004,2024-01-01,68.6,Fair
AST-00004,2024-03-31,69.8,Fair
AST-00004,2024-06-29,66.7,Fair
AST-00004,2024-09-27,70.2,Fair
AST-00004,2024-12-26,65.5,Fair
AST-00004,2025-03-26,58.8,Poor
AST-00004,2025-06-24,60.6,Fair
AST-00004,2025-09-22,56.7,Poor
AST-00004,2025-12-21,61.4,Fair
AST-00004,2026-03-21,60.9,Fair
AST-00004,2026-06-19,57.9,Poor
AST-00005,2024-01-01,56.6,Poor
AST-00005,2024-03-31,53.5,Poor
AST-00005,2024-06-29,56.2,Poor
AST-00005,2024-09-27,53.1,Poor
AST-00005,2024-12-26,57.4,Poor
AST-00005,2025-03-26,52.0,Poor
AST-00005,2025-06-24,53.8,Poor
