technician_id,primary_skill,secondary_skill,available_hours
TECH-001,power,cable,10.0
TECH-002,breaker,power,7.5
TECH-003,cable,breaker,7.5
TECH-004,third_rail,power,8.0
TECH-005,power,breaker,10.0
TECH-006,breaker,third_rail,7.5
TECH-007,cable,third_rail,8.0
TECH-008,third_rail,cable,10.0
TECH-009,power,breaker,8.0
TECH-010,breaker,cable,10.0
TECH-011,cable,third_rail,10.0
TECH-012,third_rail,breaker,8.0
TECH-013,power,cable,10.0
TECH-014,breaker,third_rail,7.5
TECH-015,cable,breaker,10.0
TECH-016,third_rail,power,10.0
TECH-017,power,third_rail,7.5
TECH-018,breaker,third_rail,7.5
TECH-019,cable,power,8.0
TECH-020,third_rail,power,7.5
TECH-021,power,third_rail,7.5
TECH-022,breaker,power,10.0
TECH-023,cable,third_rail,7.5
TECH-024,third_rail,power,7.5
