work_order_id,asset_id,work_type,priority,created_date,sla_due_date,completed_date,status,estimated_hours,required_skill
WO-0000625,AST-00161,Preventive,Medium,2024-01-01,2024-01-11,2024-01-06,Completed,6.5,power
WO-0001671,AST-00426,Preventive,Medium,2024-01-01,2024-01-11,2024-01-05,Completed,5.0,third_rail
WO-0003004,AST-00765,Preventive,Medium,2024-01-01,2024-01-11,2024-01-06,Completed,2.9,third_rail
WO-0003222,AST-00821,Preventive,Medium,2024-01-01,2024-01-11,2024-01-05,Completed,2.6,power
WO-0000492,AST-00128,Preventive,Medium,2024-01-02,2024-01-12,2024-01-04,Completed,8.1,power
WO-0001002,AST-00257,Preventive,Medium,2024-01-02,2024-01-12,2024-01-06,Completed,6.6,third_rail
WO-0003302,AST-00837,Preventive,Medium,2024-01-02,2024-01-12,2024-01-04,Completed,6.9,third_rail
WO-0003400,AST-00860,Preventive,Medium,2024-01-02,2024-01-12,2024-01-09,Completed,6.1,cable
WO-0004552,AST-00403,Corrective,High,2024-01-02,2024-01-07,2024-01-08,Completed,4.9,third_rail
WO-0005070,AST-00781,Corrective,Medium,2024-01-02,2024-01-12,2024-01-06,Completed,7.2,breaker
WO-0005391,AST-00001,Corrective,Medium,2024-01-02,2024-01-12,2024-01-05,Completed,5.0,third_rail
WO-0005432,AST-00091,Corrective,High,2024-01-02,2024-01-07,2024-01-08,Completed,5.5,power
WO-0005485,AST-00148,Corrective,Medium,2024-01-02,2024-01-12,2024-01-06,Completed,6.3,cable
WO-0005492,AST-00150,Corrective,Medium,2024-01-02,2024-01-12,2024-01-03,Completed,2.7,power
WO-0005585,AST-00260,Corrective,Medium,2024-01-02,2024-01-12,2024-01-05,Completed,7.0,cable
WO-0005628,AST-00338,Corrective,Medium,2024-01-02,2024-01-12,2024-01-07,Completed,3.3,cable
WO-0005707,AST-00476,Corrective,Medium,2024-01-02,2024-01-12,2024-01-07,Completed,6.2,breaker
WO-0005710,AST-00493,Corrective,Medium,2024-01-02,2024-01-12,2024-01-05,Completed,5.9,cable
WO-0005772,AST-00589,Corrective,Medium,2024-01-02,2024-01-12,2024-01-02,Completed,6.2,breaker
WO-0005821,AST-00649,Corrective,Medium,2024-01-02,2024-01-12,2024-01-03,Completed,5.0,cable
WO-0005909,AST-00757,Corrective,Medium,2024-01-02,2024-01-12,2024-01-04,Completed,2.0,breaker
WO-0006034,AST-00903,Corrective,Medium,2024-01-02,2024-01-12,2024-01-03,Completed,5.4,power
WO-0001289,AST-00330,Preventive,Medium,2024-01-03,2024-01-13,2024-01-08,Completed,6.7,breaker
WO-0002190,AST-00561,Preventive,Medium,2024-01-03,2024-01-13,2024-01-05,Completed,3.0,power
WO-0002677,AST-00682,Preventive,Medium,2024-01-03,2024-01-13,2024-01-04,Completed,5.8,breaker
WO-0002873,AST-00731,Preventive,Medium,2024-01-03,2024-01-13,2024-01-06,Completed,2.7,breaker
WO-0005694,AST-00439,Corrective,Medium,2024-01-03,2024-01-13,2024-01-05,Completed,4.1,cable
WO-0005698,AST-00446,Corrective,Medium,2024-01-03,2024-01-13,2024-01-05,Completed,5.0,cable
WO-0005817,AST-00640,Corrective,Medium,2024-01-03,2024-01-13,2024-01-06,Completed,6.2,third_rail
WO-0005834,AST-00668,Corrective,Medium,2024-01-03,2024-01-13,2024-01-05,Completed,6.3,third_rail
WO-0005838,AST-00670,Corrective,Medium,2024-01-03,2024-01-13,2024-01-08,Completed,3.4,cable
WO-0005975,AST-00840,Corrective,Medium,2024-01-03,2024-01-13,2024-01-04,Completed,4.2,cable
WO-0006004,AST-00880,Corrective,High,2024-01-03,2024-01-08,2024-01-12,Completed,5.2,cable
WO-0000100,AST-00027,Preventive,Medium,2024-01-04,2024-01-14,2024-01-07,Completed,6.1,cable
WO-0000699,AST-00179,Preventive,Medium,2024-01-04,2024-01-14,2024-01-07,Completed,5.2,third_rail
WO-0001678,AST-00428,Preventive,Medium,2024-01-04,2024-01-14,2024-01-06,Completed,2.8,third_rail
WO-0002333,AST-00596,Preventive,Medium,2024-01-04,2024-01-14,2024-01-08,Completed,6.0,breaker
WO-0004402,AST-00290,Corrective,Medium,2024-01-04,2024-01-14,2024-01-09,Completed,4.5,power
WO-0004720,AST-00527,Corrective,Medium,2024-01-04,2024-01-14,2024-01-05,Completed,7.4,third_rail
WO-0005463,AST-00117,Corrective,Medium,2024-01-04,2024-01-14,2024-01-07,Completed,8.1,third_rail
WO-0005958,AST-00814,Corrective,Medium,2024-01-04,2024-01-14,2024-01-06,Completed,7.0,cable
WO-0006052,AST-00932,Corrective,Medium,2024-01-04,2024-01-14,2024-01-11,Completed,5.9,breaker
WO-0000957,AST-00246,Preventive,Medium,2024-01-05,2024-01-15,2024-01-09,Completed,5.2,third_rail
WO-0001124,AST-00289,Preventive,Medium,2024-01-05,2024-01-15,2024-01-07,Completed,4.8,cable
WO-0001259,AST-00323,Preventive,Medium,2024-01-05,2024-01-15,2024-01-13,Completed,4.0,breaker
WO-0002088,AST-00537,Preventive,Medium,2024-01-05,2024-01-15,2024-01-09,Completed,5.3,cable
WO-0004659,AST-00480,Corrective,High,2024-01-05,2024-01-10,2024-01-17,Completed,6.3,cable
WO-0005444,AST-00097,Corrective,High,2024-01-05,2024-01-10,2024-01-06,Completed,3.9,breaker
WO-0005533,AST-00173,Corrective,Medium,2024-01-05,2024-01-15,2024-01-05,Completed,7.1,breaker
